,data-object,img
0,"{'objId': 23599, 'developer': {'devId': 6848, 'shortName': 'АКАДЕМ-29', 'fullName': 'АКАДЕМ-29', 'groupName': 'КомСтрин', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 5879, 'devInn': '6685100332'}, 'rpdRegionCd': 66, 'objAddr': 'г Екатеринбург, район Верх-Исетский, улица Рябинина, д. 18, корпус 3', 'objCommercNm': 'Жилой комплекс ""Рябиновый квартал""', 'objFloorMin': 8, 'objFloorMax': 16, 'objElemLivingCnt': 326, 'objReady100PercDt': '2021-11-12', 'objSquareLiving': 12811.66, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.7992, 'longitude': 60.5149, 'problemFlag': 'NONE', 'siteStatus': 'Сданные', 'objGuarantyEscrowFlg': 0, 'residentialBuildings': 1, 'rpdNum': '66-000642', 'pdId': 65099, 'buildType': 'Жилое', 'objStatus': 2}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/44e4f740-89de-4550-9dc2-0bd59678beca
2,"{'objId': 23601, 'developer': {'devId': 6848, 'shortName': 'АКАДЕМ-29', 'fullName': 'АКАДЕМ-29', 'groupName': 'КомСтрин', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 5879, 'devInn': '6685100332'}, 'rpdRegionCd': 66, 'objAddr': 'г Екатеринбург, район Верх-Исетский, улица Рябинина, д. 18, корпус 2', 'objCommercNm': 'Жилой комплекс ""Рябиновый квартал""', 'objFloorMin': 16, 'objFloorMax': 16, 'objElemLivingCnt': 146, 'objReady100PercDt': '2019-12-25', 'objSquareLiving': 6961.64, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.7993, 'longitude': 60.512, 'problemFlag': 'NONE', 'siteStatus': 'Сданные', 'objGuarantyEscrowFlg': 0, 'residentialBuildings': 1, 'rpdNum': '66-000642', 'pdId': 65099, 'buildType': 'Жилое', 'objStatus': 2}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/56cc712c-c82f-450d-9745-4158f3dc22bf
3,"{'objId': 8246, 'developer': {'devId': 2230, 'shortName': 'АКТИВСТРОЙГРУПП', 'fullName': 'АКТИВСТРОЙГРУПП', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'devInn': '6679044168'}, 'rpdRegionCd': 66, 'objAddr': 'г Екатеринбург, улица Высоцкого, д. 5', 'objCommercNm': 'ЖК «Парк Каменные палатки»', 'objFloorMin': 3, 'objFloorMax': 26, 'objElemLivingCnt': 391, 'objReady100PercDt': '2019-12-05', 'objSquareLiving': 24315.16, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.8427, 'longitude': 60.6748, 'problemFlag': 'NONE', 'siteStatus': 'Сданные', 'objGuarantyEscrowFlg': 0, 'residentialBuildings': 1, 'rpdNum': '66-000131', 'pdId': 9588, 'buildType': 'Жилое', 'objStatus': 2}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/29e5bc20-2b18-48d2-b832-fb9c3d550381
4,"{'objId': 34228, 'developer': {'devId': 8817, 'shortName': 'АРЕНДНЫЙ КВАРТАЛ НА ШАУМЯНА. ЕКАТЕРИНБУРГ', 'fullName': 'АРЕНДНЫЙ КВАРТАЛ НА ШАУМЯНА. ЕКАТЕРИНБУРГ. СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК', 'groupName': 'Брусника', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 5791, 'devInn': '2635825953'}, 'rpdRegionCd': 66, 'objAddr': 'г Екатеринбург, улица Шаумяна, д. 24', 'objCommercNm': 'Южные кварталы', 'objFloorMin': 8, 'objFloorMax': 18, 'objElemLivingCnt': 381, 'objReady100PercDt': '2022-08-18', 'objSquareLiving': 17867.74, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.8083, 'longitude': 60.5878, 'problemFlag': 'NONE', 'siteStatus': 'Сданные', 'objGuarantyEscrowFlg': 0, 'residentialBuildings': 1, 'rpdNum': '66-000782', 'pdId': 214661, 'buildType': 'Жилое', 'objStatus': 2}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/8d186306-ee18-4b4c-9618-d4c918da397a
6,"{'objId': 10532, 'developer': {'devId': 633, 'shortName': 'АСТРА-С', 'fullName': 'АСТРА-С', 'groupName': 'Астра', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 5812, 'devInn': '6658462206'}, 'rpdRegionCd': 66, 'objAddr': 'город Екатеринбург', 'objCommercNm': 'Жилой район «Солнечный»', 'objFloorMin': 6, 'objFloorMax': 17, 'objElemLivingCnt': 722, 'objReady100PercDt': '2019-12-05', 'objSquareLiving': 33101.46, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.7485, 'longitude': 60.5661, 'problemFlag': 'NONE', 'siteStatus': 'Сданные', 'objGuarantyEscrowFlg': 0, 'residentialBuildings': 1, 'rpdNum': '66-000175', 'pdId': 9194, 'buildType': 'Жилое', 'objStatus': 2}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/33b34dc5-ab74-43c3-8686-f18b648290e0
7,"{'objId': 3616, 'developer': {'devId': 627, 'shortName': 'АСТРАИНВЕСТСТРОЙ', 'fullName': 'АСТРАИНВЕСТСТРОЙ', 'groupName': 'Астра', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 5812, 'devInn': '6658374366'}, 'rpdRegionCd': 66, 'objAddr': 'г Екатеринбург, ул Альпинистов, д. 35', 'objCommercNm': 'ЖК ""Альпы""', 'objFloorMin': 9, 'objFloorMax': 22, 'objElemLivingCnt': 127, 'objReady100PercDt': '2018-11-01', 'objSquareLiving': 6708.4, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.7581, 'longitude': 60.7053, 'problemFlag': 'NONE', 'siteStatus': 'Сданные', 'objGuarantyEscrowFlg': 0, 'residentialBuildings': 1, 'rpdNum': '66-000025', 'pdId': 6756, 'buildType': 'Жилое', 'objStatus': 2}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/9c6c0ffd-1c88-4ead-a85f-c5e4ff3debee
8,"{'objId': 3467, 'developer': {'devId': 627, 'shortName': 'АСТРАИНВЕСТСТРОЙ', 'fullName': 'АСТРАИНВЕСТСТРОЙ', 'groupName': 'Астра', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 5812, 'devInn': '6658374366'}, 'rpdRegionCd': 66, 'objAddr': 'г Екатеринбург, ул Альпинистов, д. 35', 'objCommercNm': 'ЖК ""Альпы""', 'objFloorMin': 11, 'objFloorMax': 11, 'objElemLivingCnt': 97, 'objReady100PercDt': '2018-11-01', 'objSquareLiving': 4052.2, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.7583, 'longitude': 60.7052, 'problemFlag': 'NONE', 'siteStatus': 'Сданные', 'objGuarantyEscrowFlg': 0, 'residentialBuildings': 1, 'rpdNum': '66-000022', 'pdId': 6517, 'buildType': 'Жилое', 'objStatus': 2}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/e96631af-be27-46e9-bb16-b37479e488c5
9,"{'objId': 4611, 'developer': {'devId': 627, 'shortName': 'АСТРАИНВЕСТСТРОЙ', 'fullName': 'АСТРАИНВЕСТСТРОЙ', 'groupName': 'Астра', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 5812, 'devInn': '6658374366'}, 'rpdRegionCd': 66, 'objAddr': 'г Екатеринбург, ул Гурзуфская, д. 11, корпус 3', 'objCommercNm': 'ЖК ""Седьмое небо""', 'objFloorMin': 6, 'objFloorMax': 25, 'objElemLivingCnt': 134, 'objReady100PercDt': '2019-03-28', 'objSquareLiving': 9682.27, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.8247, 'longitude': 60.5823, 'problemFlag': 'NONE', 'siteStatus': 'Сданные', 'objGuarantyEscrowFlg': 0, 'residentialBuildings': 1, 'rpdNum': '66-000379', 'pdId': 6966, 'buildType': 'Жилое', 'objStatus': 2}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/ccd216fc-92c5-44c0-b759-2c080149f6c0
10,"{'objId': 15608, 'developer': {'devId': 627, 'shortName': 'АСТРАИНВЕСТСТРОЙ', 'fullName': 'АСТРАИНВЕСТСТРОЙ', 'groupName': 'Астра', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 5812, 'devInn': '6658374366'}, 'rpdRegionCd': 66, 'objAddr': 'г Екатеринбург, Большакова, д. 147', 'objCommercNm': 'ЖК ""New house mART""', 'objFloorMin': 33, 'objFloorMax': 33, 'objElemLivingCnt': 159, 'objReady100PercDt': '2021-03-23', 'objSquareLiving': 10658.2, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.816, 'longitude': 60.5935, 'problemFlag': 'NONE', 'siteStatus': 'Сданные', 'objGuarantyEscrowFlg': 0, 'residentialBuildings': 1, 'rpdNum': '66-000235', 'pdId': 31271, 'buildType': 'Жилое', 'objStatus': 2}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/ffc47aca-6032-4e86-8f4e-535df83b1828
11,"{'objId': 37518, 'developer': {'devId': 627, 'shortName': 'АСТРАИНВЕСТСТРОЙ', 'fullName': 'АСТРАИНВЕСТСТРОЙ', 'groupName': 'Астра', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 5812, 'devInn': '6658374366'}, 'rpdRegionCd': 66, 'objAddr': 'г Екатеринбург, ул Тенистая, д. 26', 'objCommercNm': 'ЖК ""Домино""', 'objFloorMin': 10, 'objFloorMax': 24, 'objElemLivingCnt': 307, 'objReady100PercDt': '2022-12-31', 'objSquareLiving': 13697.7, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.8015, 'longitude': 60.4978, 'problemFlag': 'NONE', 'siteStatus': 'Строящиеся', 'objGuarantyEscrowFlg': 1, 'residentialBuildings': 1, 'rpdNum': '66-000872', 'pdId': 372600, 'buildType': 'Жилое', 'objStatus': 0}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/4709f3b5-b047-48f1-8a86-c37159e8f55f
